"personLabel"	"assocLabel"
"Todd Rundgren"	"Meat Loaf"
"Todd Rundgren"	"Daryl Hall"
"Tommy Lee"	"The Bloody Beetroots"
"Tommy Lee"	"Rob Zombie"
"Tommy Lee"	"Deadmau5"
"Tricky (musician)"	"Mark Stewart (musician)"
"Tricky (musician)"	"Martina Topley-Bird"
"Vangelis"	"Demis Roussos"
"Vince Guaraldi"	"Bola Sete"
"Vince Guaraldi"	"Cal Tjader"
"Willie Dixon"	"Lowell Fulson"
"Willie Dixon"	"Magic Sam"
"Willie Dixon"	"Sonny Boy Williamson II"
"Willie Dixon"	"Muddy Waters"
"Willie Dixon"	"Buddy Guy"
"Willie Dixon"	"Howlin' Wolf"
"Benga (musician)"	"Skream"
"Benga (musician)"	"Katy B"
"Candido Camero"	"Wynton Kelly"
"Collin Leijenaar"	"Neal Morse"
"Daniel Anderson (musician)"	"Hyro Da Hero"
"David Daniell (musician)"	"Jonathan Kane"
"David Daniell (musician)"	"Rhys Chatham"
"Don Weller (musician)"	"Cat Stevens"
"Don Weller (musician)"	"Alan Barnes (musician)"
"Grasshopper (musician)"	"Nicolai Dunger"
"Henno Althoff"	"Richard Smith (English guitarist)"
"Johnny Mandel"	"Count Basie"
"Keith Alexander (guitarist)"	"Dee Snider"
